case,variant,hops,lrc_count,adjacent_violation_max,adjacent_violation_mean,adjacent_abs_residual_max,jitter_rms_last30,quality_score,ms_per_frame,us_per_substep,elapsed_s
vertical_one_pin,baseline,,0,0.004701405763626099,0.0013695628149434924,0.004701405763626099,0.001812492497265339,0.00515452865511179,5.106068852668007,1276.5172131670017,0.6127282623201609
vertical_one_pin,slide_hop3_stride4,3,12,0.004658013582229614,0.0013629181776195765,0.004658013582229614,0.001790252747014165,0.005105576943606138,5.5389784354095655,1384.7446088523914,0.6646774122491479
vertical_one_pin,slide_multiscale_stride8,3 7 15,17,0.00446966290473938,0.0012966837966814637,0.00446966290473938,0.0016364341136068106,0.0048787714913487434,5.546776050080855,1386.6940125202138,0.6656131260097027
vertical_one_pin,pin_star_odd_k1e3,,23,0.0021865665912628174,0.0006130742258392274,0.0021865665912628174,0.0004411849076859653,0.002296862890943885,5.532961695765455,1383.2404239413638,0.6639554034918547
vertical_one_pin,pin_star_sparse_k2e3,,11,0.00220373272895813,0.0006305697024799883,0.00220373272895813,0.0004822005284950137,0.0023242828901857138,5.57986277466019,1394.9656936650474,0.6695835329592228
vertical_one_pin,hard_pin_star_sparse,,11,0.006846517324447632,0.0004528930876404047,0.006846517324447632,0.014581982977688313,0.010492012836039066,5.565271433442831,1391.3178583607078,0.6678325720131397
horizontal_one_pin,baseline,,0,0.009324222803115845,0.0018561356700956821,0.009324222803115845,0.023997867479920387,0.015323689207434654,5.0660127541050315,1266.5031885262579,0.6079215304926038
horizontal_one_pin,slide_hop3_stride4,3,12,0.009330183267593384,0.0018461054423823953,0.009330183267593384,0.02398943528532982,0.015327542088925838,5.533541187954445,1383.3852969886113,0.6640249425545335
horizontal_one_pin,slide_multiscale_stride8,3 7 15,17,0.009154535830020905,0.0017807146068662405,0.009154535830020905,0.023836322128772736,0.015113616362214088,5.534294224344194,1383.5735560860485,0.6641153069213033
horizontal_one_pin,pin_star_odd_k1e3,,23,0.006066121160984039,0.0017027313588187099,0.006066121160984039,0.02344883419573307,0.01192832924425602,5.491756515887876,1372.939128971969,0.6590107819065452
horizontal_one_pin,pin_star_sparse_k2e3,,11,0.006135955452919006,0.001703686430118978,0.006135955452919006,0.023441458120942116,0.011996319517493248,5.544138591115673,1386.0346477789183,0.6652966309338808
horizontal_one_pin,hard_pin_star_sparse,,11,0.0067653656005859375,0.0015963412588462234,0.0067653656005859375,0.02336914837360382,0.012607652693986893,5.514201382175088,1378.550345543772,0.6617041658610106
two_pin,baseline,,0,0.007815845310688019,0.002568689174950123,0.007815845310688019,0.009428628720343113,0.010173002257943153,5.117289434807996,1279.322358701999,0.6140747321769595
two_pin,slide_hop3_stride4,3,12,0.007767230272293091,0.0025602318346500397,0.007767230272293091,0.009418975561857224,0.010121974162757397,5.526361218653619,1381.5903046634048,0.6631633462384343
two_pin,slide_multiscale_stride8,3 7 15,17,0.007534384727478027,0.0024953619576990604,0.007534384727478027,0.009354662150144577,0.009873050265014172,5.514918314293027,1378.7295785732567,0.6617901977151632
two_pin,pin_star_odd_k1e3,,45,0.005615055561065674,0.0022029129322618246,0.005615055561065674,0.008620817214250565,0.007770259864628315,5.509346420876682,1377.3366052191705,0.6611215705052018
two_pin,pin_star_sparse_k2e3,,22,0.005732223391532898,0.0022045110817998648,0.005732223391532898,0.008623069152235985,0.007887991145253181,5.535964830778539,1383.9912076946348,0.6643157796934247
two_pin,hard_pin_star_sparse,,22,0.587388277053833,0.0292217954993248,0.587388277053833,1.2020366191864014,0.8878974318504333,5.524564371444285,1381.1410928610712,0.6629477245733142
